fips,state,countystate,totalpopulation1519acs,costpermeal_s,snap_costpermeal_s,snap_cost_plus15_s,adjusted_costpermeal_s,gap_cpm_snap_s,percent_gap_cpm_snap_s,cost_gt_tfp,gap_cpm_snap_plus15_s,percent_gap_cpm_snap_plus15_s,cost_gt_tfp_plus_15_percent,cost_gt_tfp_plus_25_percent
1001,AL,"Autauga County, Alabama",55380,2.88,1.97,2.27,2.21,0.24,0.12,1,-0.05,-0.02,0,0
1003,AL,"Baldwin County, Alabama",212830,3.42,1.97,2.27,2.63,0.66,0.34,1,0.37,0.16,1,1
1005,AL,"Barbour County, Alabama",25361,2.94,1.97,2.27,2.26,0.29,0.15,1,0,0,0,0
1007,AL,"Bibb County, Alabama",22493,2.8,1.97,2.27,2.16,0.19,0.1,1,-0.11,-0.05,0,0
1009,AL,"Blount County, Alabama",57681,2.79,1.97,2.27,2.15,0.18,0.09,1,-0.12,-0.05,0,0
1011,AL,"Bullock County, Alabama",10248,3.1,1.97,2.27,2.39,0.42,0.21,1,0.12,0.05,1,0
1013,AL,"Butler County, Alabama",19828,3.01,1.97,2.27,2.32,0.35,0.18,1,0.05,0.02,1,0
1015,AL,"Calhoun County, Alabama",114618,2.82,1.97,2.27,2.17,0.2,0.1,1,-0.1,-0.04,0,0
1017,AL,"Chambers County, Alabama",33660,2.85,1.97,2.27,2.19,0.22,0.11,1,-0.07,-0.03,0,0
1019,AL,"Cherokee County, Alabama",25903,2.84,1.97,2.27,2.18,0.21,0.11,1,-0.08,-0.04,0,0
1021,AL,"Chilton County, Alabama",44055,2.93,1.97,2.27,2.25,0.28,0.14,1,-0.01,-0.01,0,0
1023,AL,"Choctaw County, Alabama",12925,2.83,1.97,2.27,2.18,0.21,0.11,1,-0.09,-0.04,0,0
1025,AL,"Clarke County, Alabama",24128,2.8,1.97,2.27,2.16,0.19,0.1,1,-0.11,-0.05,0,0
1027,AL,"Clay County, Alabama",13337,2.95,1.97,2.27,2.27,0.3,0.15,1,0,0,1,0
1029,AL,"Cleburne County, Alabama",14916,2.88,1.97,2.27,2.22,0.25,0.13,1,-0.05,-0.02,0,0
1031,AL,"Coffee County, Alabama",51662,3.33,1.97,2.27,2.56,0.59,0.3,1,0.3,0.13,1,1
1033,AL,"Colbert County, Alabama",54771,2.79,1.97,2.27,2.15,0.18,0.09,1,-0.12,-0.05,0,0
1035,AL,"Conecuh County, Alabama",12394,2.82,1.97,2.27,2.17,0.2,0.1,1,-0.1,-0.04,0,0
1037,AL,"Coosa County, Alabama",10757,3.15,1.97,2.27,2.43,0.46,0.23,1,0.16,0.07,1,0
1039,AL,"Covington County, Alabama",37200,2.81,1.97,2.27,2.16,0.19,0.1,1,-0.1,-0.04,0,0
1041,AL,"Crenshaw County, Alabama",13844,3.12,1.97,2.27,2.4,0.43,0.22,1,0.14,0.06,1,0
1043,AL,"Cullman County, Alabama",82853,3.03,1.97,2.27,2.33,0.36,0.18,1,0.06,0.03,1,0
1045,AL,"Dale County, Alabama",49277,3.02,1.97,2.27,2.33,0.36,0.18,1,0.06,0.03,1,0
1047,AL,"Dallas County, Alabama",39149,3.01,1.97,2.27,2.32,0.35,0.18,1,0.05,0.02,1,0
1049,AL,"DeKalb County, Alabama",71310,2.84,1.97,2.27,2.19,0.22,0.11,1,-0.08,-0.03,0,0
1051,AL,"Elmore County, Alabama",81144,3.06,1.97,2.27,2.35,0.38,0.19,1,0.09,0.04,1,0
1053,AL,"Escambia County, Alabama",37057,2.86,1.97,2.27,2.2,0.23,0.12,1,-0.06,-0.03,0,0
1055,AL,"Etowah County, Alabama",102748,2.9,1.97,2.27,2.23,0.26,0.13,1,-0.04,-0.02,0,0
1057,AL,"Fayette County, Alabama",16494,3.01,1.97,2.27,2.32,0.35,0.18,1,0.05,0.02,1,0
1059,AL,"Franklin County, Alabama",31466,2.66,1.97,2.27,2.05,0.08,0.04,1,-0.22,-0.1,0,0
1061,AL,"Geneva County, Alabama",26417,2.81,1.97,2.27,2.16,0.19,0.1,1,-0.1,-0.05,0,0
1063,AL,"Greene County, Alabama",8324,3.14,1.97,2.27,2.42,0.45,0.23,1,0.15,0.07,1,0
1065,AL,"Hale County, Alabama",14809,3.12,1.97,2.27,2.4,0.43,0.22,1,0.14,0.06,1,0
1067,AL,"Henry County, Alabama",17133,3.11,1.97,2.27,2.39,0.42,0.21,1,0.13,0.06,1,0
1069,AL,"Houston County, Alabama",104702,3.13,1.97,2.27,2.41,0.44,0.22,1,0.14,0.06,1,0
1071,AL,"Jackson County, Alabama",51852,2.8,1.97,2.27,2.16,0.19,0.1,1,-0.11,-0.05,0,0
1073,AL,"Jefferson County, Alabama",659680,3.09,1.97,2.27,2.38,0.41,0.21,1,0.11,0.05,1,0
1075,AL,"Lamar County, Alabama",13885,2.81,1.97,2.27,2.17,0.2,0.1,1,-0.1,-0.04,0,0
1077,AL,"Lauderdale County, Alabama",92556,2.76,1.97,2.27,2.12,0.15,0.08,1,-0.14,-0.06,0,0
1079,AL,"Lawrence County, Alabama",33058,2.82,1.97,2.27,2.17,0.2,0.1,1,-0.1,-0.04,0,0
1081,AL,"Lee County, Alabama",161152,3.32,1.97,2.27,2.56,0.59,0.3,1,0.29,0.13,1,1
1083,AL,"Limestone County, Alabama",94727,3.09,1.97,2.27,2.38,0.41,0.21,1,0.11,0.05,1,0
1085,AL,"Lowndes County, Alabama",10079,3.09,1.97,2.27,2.38,0.41,0.21,1,0.11,0.05,1,0
1087,AL,"Macon County, Alabama",18708,3.06,1.97,2.27,2.35,0.38,0.19,1,0.09,0.04,1,0
1089,AL,"Madison County, Alabama",362276,3,1.97,2.27,2.31,0.34,0.17,1,0.04,0.02,1,0
